disease,symptom
Rabies,Anxiety
Rabies,Confusion
Rabies,Hyperactivity
Rabies,Difficulty swallowing
Rabies,Excessive salivation
Rabies,Fear brought on by attempts to drink fluids because of difficulty swallowing water
Rabies,Hallucinations
Rabies,Insomnia
Rabies,Partial paralysis
Raynaud's disease,Cold fingers or toes
Raynaud's disease,Color changes in your skin in response to cold or stress
Raynaud's disease,"Numb, prickly feeling or stinging pain upon warming or stress relief"
Recurrent breast cancer,A new lump in your breast or irregular area of firmness
Recurrent breast cancer,Changes to the skin of your breast
Recurrent breast cancer,Skin inflammation or area of redness
Recurrent breast cancer,Nipple discharge
Recurrent breast cancer,One or more painless nodules on or under the skin of your chest wall
Recurrent breast cancer,A new area of thickening along or near the mastectomy scar
REM sleep behavior disorder,"Movement, such as kicking, punching, arm flailing or jumping from bed, in response to action-filled or violent dreams, such as being chased or defending yourself from an attack"
REM sleep behavior disorder,"Noises, such as talking, laughing, shouting, emotional outcries or even cursing"
REM sleep behavior disorder,Being able to recall the dream if you awaken during the episode
Respiratory syncytial virus (RSV),Congested or runny nose
Respiratory syncytial virus (RSV),Dry cough
Respiratory syncytial virus (RSV),Low-grade fever
Respiratory syncytial virus (RSV),Sore throat
Respiratory syncytial virus (RSV),Sneezing
Respiratory syncytial virus (RSV),Headache
Restless legs syndrome,"Sensations that begin after rest. The sensation typically begins after you've been lying down or sitting for an extended time, such as in a car, airplane or movie theater."
Restless legs syndrome,"Relief with movement. The sensation of RLS lessens with movement, such as stretching, jiggling your legs, pacing or walking."
Restless legs syndrome,Worsening of symptoms in the evening. Symptoms occur mainly at night.
Restless legs syndrome,"Nighttime leg twitching. RLS may be associated with another, more common condition called periodic limb movement of sleep, which causes your legs to twitch and kick, possibly throughout the night, while you sleep."
Restless legs syndrome,Crawling
Restless legs syndrome,Creeping
Restless legs syndrome,Pulling
Restless legs syndrome,Throbbing
Restless legs syndrome,Aching
Restless legs syndrome,Itching
Restless legs syndrome,Electric
Retrograde ejaculation,Orgasms in which you ejaculate very little or no semen out of your penis (dry orgasms)
Retrograde ejaculation,Urine that is cloudy after orgasm because it contains semen
Retrograde ejaculation,Inability to get a woman pregnant (male infertility)
Rett syndrome,"Slowed growth. Brain growth slows after birth. Smaller than normal head size (microcephaly) is usually the first sign that a child has Rett syndrome. As children get older, delayed growth in other parts of the body becomes evident."
Rett syndrome,"Loss of normal movement and coordination. The first signs often include reduced hand control and a decreasing ability to crawl or walk normally. At first, this loss of abilities occurs rapidly and then it continues more gradually. Eventually muscles become weak or may become rigid or spastic with abnormal movement and positioning."
Rett syndrome,"Loss of communication abilities. Children with Rett syndrome typically begin to lose the ability to speak, to make eye contact and to communicate in other ways. They may become disinterested in other people, toys and their surroundings. Some children have rapid changes, such as a sudden loss of speech. Over time, children may gradually regain eye contact and develop nonverbal communication skills."
Rett syndrome,"Abnormal hand movements. Children with Rett syndrome typically develop repetitive, purposeless hand movements that may differ for each person. Hand movements may include hand-wringing, squeezing, clapping, tapping or rubbing."
Rett syndrome,"Unusual eye movements. Children with Rett syndrome tend to have unusual eye movements, such as intense staring, blinking, crossed eyes or closing one eye at a time."
Rett syndrome,"Breathing problems. These include breath-holding, abnormally rapid breathing (hyperventilation), forceful exhalation of air or saliva, and swallowing air. These problems tend to occur during waking hours, but breathing disturbances such as shallow breathing or periodic breathing can occur during sleep."
Rett syndrome,"Irritability and crying. Children with Rett syndrome may become increasingly agitated and irritable as they get older. Periods of crying or screaming may begin suddenly, for no apparent reason, and last for hours. Some children may experience fears and anxiety."
Rett syndrome,"Other abnormal behaviors. These may include, for example, sudden, odd facial expressions and long bouts of laughter, hand licking, and grasping of hair or clothing."
Rett syndrome,Cognitive disabilities. Loss of skills can be accompanied by a loss of intellectual functioning.
Rett syndrome,Seizures. Most people who have Rett syndrome experience seizures at some time during their lives. Multiple seizure types may occur and are accompanied by an abnormal electroencephalogram (EEG).
Rett syndrome,Abnormal curvature of the spine (scoliosis). Scoliosis is common with Rett syndrome. It typically begins between 8 and 11 years of age and increases with age. Surgery may be required if the curvature is severe.
Rett syndrome,Irregular heartbeat. This is a life-threatening problem for many children and adults with Rett syndrome and can result in sudden death.
Rett syndrome,"Sleep disturbances. Abnormal sleep patterns can include irregular sleep times, falling asleep during the day and being awake at night, or waking in the night with crying or screaming.
     Other symptoms. A variety of other symptoms can occur, such as thin, fragile bones prone to factures; small hands and feet that are usually cold; problems with chewing and swallowing; problems with bowel function; and teeth grinding."
Rett syndrome,"Other symptoms. A variety of other symptoms can occur, such as thin, fragile bones prone to factures; small hands and feet that are usually cold; problems with chewing and swallowing; problems with bowel function; and teeth grinding."
Reye's syndrome,Diarrhea
Reye's syndrome,Rapid breathing
Reye's syndrome,Persistent or continuous vomiting
Reye's syndrome,Unusual sleepiness or lethargy
Rheumatic fever,Fever
Rheumatic fever,"Painful and tender joints — most often in the knees, ankles, elbows and wrists"
Rheumatic fever,Pain in one joint that migrates to another joint
Rheumatic fever,"Red, hot or swollen joints"
Rheumatic fever,"Small, painless bumps beneath the skin"
Rheumatic fever,Chest pain
Rheumatic fever,Heart murmur
Rheumatic fever,Fatigue
Rheumatic fever,"Flat or slightly raised, painless rash with a ragged edge"
Rheumatic fever,"Jerky, uncontrollable body movements (Sydenham chorea) — most often in the hands, feet and face"
Rheumatic fever,"Outbursts of unusual behavior, such as crying or inappropriate laughing, that accompanies Sydenham chorea"
Tinnitus,Buzzing
Tinnitus,Roaring
Tinnitus,Clicking
Tinnitus,Hissing
Tinnitus,Humming
Ringworm (body),"A scaly ring-shaped area, typically on the buttocks, trunk, arms and legs"
Ringworm (body),Itchiness
Ringworm (body),"A clear or scaly area inside the ring, perhaps with a scattering of bumps whose color ranges from red on white skin to reddish, purplish, brown or gray on black and brown skin"
Ringworm (body),"Slightly raised, expanding rings"
Ringworm (body),"A round, flat patch of itchy skin"
Ringworm (body),Overlapping rings
Rocky Mountain spotted fever,High fever
Rocky Mountain spotted fever,Chills
Rocky Mountain spotted fever,Severe headache
Rocky Mountain spotted fever,Muscle aches
Rocky Mountain spotted fever,Nausea and vomiting
Rocky Mountain spotted fever,Confusion or other neurological changes
Rosacea,Facial blushing or flushing. Rosacea can cause a persistent blushing or flushing in the central part of your face. This sign of the condition may be difficult to see on brown and Black skin.
Rosacea,Visible veins. Small blood vessels of your nose and cheeks break and become visible (spider veins).
Rosacea,Swollen bumps. Many people with rosacea also develop pimples on their face that resemble acne. These bumps sometimes contain pus.
Rosacea,Burning sensation. The skin of the affected area may feel hot and tender.
Rosacea,"Eye problems. Many people with rosacea also experience dry, irritated, swollen eyes and eyelids. This is known as ocular rosacea. In some people, the eye symptoms precede the skin symptoms."
Rosacea,"Enlarged nose. Over time, rosacea can thicken the skin on the nose, causing the nose to appear bulbous (rhinophyma). This occurs more often in men than in women."
Rotator cuff injury,Be described as a dull ache deep in the shoulder
Rotator cuff injury,Disturb sleep
Rotator cuff injury,Make it difficult to comb your hair or reach behind your back
Rotator cuff injury,Be accompanied by arm weakness
Rotavirus,Has diarrhea for more than 24 hours
Rotavirus,Vomits frequently
Rotavirus,Has black or tarry stool or stool containing blood or pus
Rotavirus,Has a temperature of 102 F (38.9 C) or higher
Rotavirus,"Seems tired, irritable or in pain"
Rotavirus,"Has signs or symptoms of dehydration, including dry mouth, crying without tears, little or no urination, unusual sleepiness, or unresponsiveness"
Rotavirus,Can't keep liquids down for 24 hours
Rotavirus,Have diarrhea for more than two days
Rotavirus,Have blood in your vomit or bowel movements
Rotavirus,Have a temperature higher than 103 F (39.4 C)
Rotavirus,"Have signs or symptoms of dehydration, including excessive thirst, dry mouth, little or no urination, severe weakness, dizziness on standing, or lightheadedness"
Seasonal affective disorder (SAD),"Feeling depressed most of the day, nearly every day"
Seasonal affective disorder (SAD),Losing interest in activities you once enjoyed
Seasonal affective disorder (SAD),Having low energy
Seasonal affective disorder (SAD),Having problems with sleeping
Seasonal affective disorder (SAD),Experiencing changes in your appetite or weight
Seasonal affective disorder (SAD),Feeling sluggish or agitated
Seasonal affective disorder (SAD),Having difficulty concentrating
Seasonal affective disorder (SAD),"Feeling hopeless, worthless or guilty"
Seasonal affective disorder (SAD),Having frequent thoughts of death or suicide
Sarcoidosis,Fatigue
Sarcoidosis,Swollen lymph nodes
Sarcoidosis,Weight loss
Sarcoidosis,"Pain and swelling in joints, such as the ankles"
Small intestinal bacterial overgrowth (SIBO),Loss of appetite
Small intestinal bacterial overgrowth (SIBO),Abdominal pain
Small intestinal bacterial overgrowth (SIBO),Nausea
Small intestinal bacterial overgrowth (SIBO),Bloating
Small intestinal bacterial overgrowth (SIBO),An uncomfortable feeling of fullness after eating
Small intestinal bacterial overgrowth (SIBO),Diarrhea
Small intestinal bacterial overgrowth (SIBO),Unintentional weight loss
Small intestinal bacterial overgrowth (SIBO),Malnutrition
Spontaneous coronary artery dissection (SCAD),Chest pain
Spontaneous coronary artery dissection (SCAD),A rapid heartbeat or fluttery feeling in your chest
Spontaneous coronary artery dissection (SCAD),"Pain in your arms, shoulders or jaw"
Spontaneous coronary artery dissection (SCAD),Shortness of breath
Spontaneous coronary artery dissection (SCAD),Sweating
Spontaneous coronary artery dissection (SCAD),"Unusual, extreme tiredness"
Spontaneous coronary artery dissection (SCAD),Nausea
Spontaneous coronary artery dissection (SCAD),Dizziness
Scarlet fever,"Red rash. The rash looks like a sunburn and feels like sandpaper. It typically begins on the face or neck and spreads to the trunk, arms and legs. If pressure is applied to the reddened skin, it will turn pale."
Scarlet fever,"Red lines. The folds of skin around the groin, armpits, elbows, knees and neck usually become a deeper red than the surrounding rash."
Scarlet fever,Flushed face. The face may appear flushed with a pale ring around the mouth.
Scarlet fever,"Strawberry tongue. The tongue generally looks red and bumpy, and it's often covered with a white coating early in the disease."
Scarlet fever,"Fever of 101 F (38.3 C) or higher, often with chills"
Scarlet fever,"Very sore and red throat, sometimes with white or yellowish patches"
Scarlet fever,Difficulty swallowing
Scarlet fever,Enlarged glands in the neck (lymph nodes) that are tender to the touch
Scarlet fever,Nausea or vomiting
Scarlet fever,Headache
Schizoaffective disorder,"Delusions — having false, fixed beliefs, despite evidence to the contrary"
Schizoaffective disorder,"Hallucinations, such as hearing voices or seeing things that aren't there"
Schizoaffective disorder,"Impaired communication and speech, such as being incoherent"
Schizoaffective disorder,Bizarre or unusual behavior
Schizoaffective disorder,"Symptoms of depression, such as feeling empty, sad or worthless"
Schizoaffective disorder,"Periods of manic mood, with an increase in energy and a decreased need for sleep over several days, and behaviors that are out of character"
Schizoaffective disorder,"Impaired occupational, academic and social functioning"
Schizoaffective disorder,"Problems with managing personal care, including cleanliness and physical appearance"
Schizophrenia,"Delusions. These are false beliefs that are not based in reality. For example, you think that you're being harmed or harassed; certain gestures or comments are directed at you; you have exceptional ability or fame; another person is in love with you; or a major catastrophe is about to occur. Delusions occur in most people with schizophrenia."
Schizophrenia,"Hallucinations. These usually involve seeing or hearing things that don't exist. Yet for the person with schizophrenia, they have the full force and impact of a normal experience. Hallucinations can be in any of the senses, but hearing voices is the most common hallucination."
Schizophrenia,"Disorganized thinking (speech). Disorganized thinking is inferred from disorganized speech. Effective communication can be impaired, and answers to questions may be partially or completely unrelated. Rarely, speech may include putting together meaningless words that can't be understood, sometimes known as word salad."
Schizophrenia,"Extremely disorganized or abnormal motor behavior. This may show in a number of ways, from childlike silliness to unpredictable agitation. Behavior isn't focused on a goal, so it's hard to do tasks. Behavior can include resistance to instructions, inappropriate or bizarre posture, a complete lack of response, or useless and excessive movement."
Schizophrenia,"Negative symptoms. This refers to reduced or lack of ability to function normally. For example, the person may neglect personal hygiene or appear to lack emotion (doesn't make eye contact, doesn't change facial expressions or speaks in a monotone). Also, the person may lose interest in everyday activities, socially withdraw or lack the ability to experience pleasure."
Spinal cord injury,"Complete. If all feeling (sensory) and all ability to control movement (motor function) are lost below the spinal cord injury, your injury is called complete."
Spinal cord injury,"Incomplete. If you have some motor or sensory function below the affected area, your injury is called incomplete. There are varying degrees of incomplete injury."
Spinal cord injury,"Tetraplegia. Also known as quadriplegia, this means that your arms, hands, trunk, legs and pelvic organs are all affected by your spinal cord injury."
Spinal cord injury,"Paraplegia. This paralysis affects all or part of the trunk, legs and pelvic organs."
Spinal cord injury,Loss of movement
Spinal cord injury,"Loss of or altered sensation, including the ability to feel heat, cold and touch"
Spinal cord injury,Loss of bowel or bladder control
Spinal cord injury,Exaggerated reflex activities or spasms
Spinal cord injury,"Changes in sexual function, sexual sensitivity and fertility"
Spinal cord injury,Pain or an intense stinging sensation caused by damage to the nerve fibers in your spinal cord
Spinal cord injury,"Difficulty breathing, coughing or clearing secretions from your lungs"
Sciatica,"You have sudden, severe pain in your low back or leg and numbness or muscle weakness in your leg"
Sciatica,"The pain follows a violent injury, such as a traffic accident"
Sciatica,You have trouble controlling your bowels or bladder
Scorpion sting,"Pain, which can be intense"
Scorpion sting,Numbness and tingling
Scorpion sting,Slight swelling
Scorpion sting,Warmth
Scorpion sting,Difficulty breathing
Scorpion sting,Muscle twitching or thrashing
Scorpion sting,"Unusual head, neck and eye movements"
Scorpion sting,Drooling
Scorpion sting,Sweating
Scorpion sting,Nausea and vomiting
Scorpion sting,High blood pressure (hypertension)
Scorpion sting,Accelerated heart rate (tachycardia)
Scorpion sting,"Restlessness or excitability, or inconsolable crying in children"
Separation anxiety disorder,Recurrent and excessive distress about anticipating or being away from home or loved ones
Separation anxiety disorder,"Constant, excessive worry about losing a parent or other loved one to an illness or a disaster"
Separation anxiety disorder,"Constant worry that something bad will happen, such as being lost or kidnapped, causing separation from parents or other loved ones"
Separation anxiety disorder,Refusing to be away from home because of fear of separation
Separation anxiety disorder,Not wanting to be home alone and without a parent or other loved one in the house
Separation anxiety disorder,Reluctance or refusing to sleep away from home without a parent or other loved one nearby
Separation anxiety disorder,Repeated nightmares about separation
Separation anxiety disorder,"Frequent complaints of headaches, stomachaches or other symptoms when separation from a parent or other loved one is anticipated"
Sepsis,Change in mental status
Sepsis,Systolic blood pressure — the first number in a blood pressure reading — less than or equal to 100 millimeters of mercury (mm Hg)
Sepsis,Respiratory rate higher than or equal to 22 breaths a minute
Ventricular septal defect (VSD),"Poor eating, failure to thrive"
Ventricular septal defect (VSD),Fast breathing or breathlessness
Ventricular septal defect (VSD),Easy tiring
Serotonin syndrome,Agitation or restlessness
Serotonin syndrome,Confusion
Serotonin syndrome,Rapid heart rate and high blood pressure
Serotonin syndrome,Dilated pupils
Serotonin syndrome,Loss of muscle coordination or twitching muscles
Serotonin syndrome,Muscle rigidity
Serotonin syndrome,Heavy sweating
Serotonin syndrome,Diarrhea
Serotonin syndrome,Headache
Serotonin syndrome,Shivering
Serotonin syndrome,Goose bumps
Serotonin syndrome,High fever
Serotonin syndrome,Seizures
Serotonin syndrome,Irregular heartbeat
Serotonin syndrome,Unconsciousness
Sexually transmitted diseases (STDs),Sores or bumps on the genitals or in the oral or rectal area
Sexually transmitted diseases (STDs),Painful or burning urination
Sexually transmitted diseases (STDs),Discharge from the penis
Sexually transmitted diseases (STDs),Unusual or odorous vaginal discharge
Sexually transmitted diseases (STDs),Unusual vaginal bleeding
Sexually transmitted diseases (STDs),Pain during sex
Sexually transmitted diseases (STDs),"Sore, swollen lymph nodes, particularly in the groin but sometimes more widespread"
Sexually transmitted diseases (STDs),Lower abdominal pain
Sexually transmitted diseases (STDs),Fever
Sexually transmitted diseases (STDs),"Rash over the trunk, hands or feet"
Shigella infection,Diarrhea (often containing blood or mucus)
Shigella infection,Stomach pain or cramps
Shigella infection,Fever
Shigella infection,Nausea or vomiting
Sleep apnea,Loud snoring
Sleep apnea,Episodes in which you stop breathing during sleep — which would be reported by another person
Sleep apnea,Gasping for air during sleep
Sleep apnea,Awakening with a dry mouth
Sleep apnea,Morning headache
Sleep apnea,Difficulty staying asleep (insomnia)
Sleep apnea,Excessive daytime sleepiness (hypersomnia)
Sleep apnea,Difficulty paying attention while awake
Sleep apnea,Irritability
Obstructive sleep apnea,Excessive daytime sleepiness
Obstructive sleep apnea,Loud snoring
Obstructive sleep apnea,Observed episodes of stopped breathing during sleep
Obstructive sleep apnea,Abrupt awakenings accompanied by gasping or choking
Obstructive sleep apnea,Awakening with a dry mouth or sore throat
Obstructive sleep apnea,Morning headache
Obstructive sleep apnea,Difficulty concentrating during the day
Obstructive sleep apnea,"Mood changes, such as depression or irritability"
Obstructive sleep apnea,High blood pressure
Obstructive sleep apnea,Decreased libido
Sleep-related eating disorder,"Frequent episodes, generally nightly, of eating and drinking in an out-of-control manner"
Sleep-related eating disorder,Impaired consciousness while preparing and eating food
Sleep-related eating disorder,Little or no memory of these actions the next morning
Sleep-related eating disorder,Eating high-carbohydrate and high-fat foods or odd combinations of food
Sleep-related eating disorder,"Possibly eating inedible or toxic substances, such as frozen foods, coffee grounds, cleaning solutions or cigarette butts"
Sleep-related eating disorder,Possibly experiencing injuries or engaging in dangerous food preparation activities
Sleep-related eating disorder,Not being easily awakened or redirected during the episode
Sleep-related eating disorder,Experiencing a negative impact on your health from the nighttime eating
Small bowel prolapse (enterocele),A pulling sensation in your pelvis that eases when you lie down
Small bowel prolapse (enterocele),"A feeling of pelvic fullness, pressure or pain"
Small bowel prolapse (enterocele),Low back pain that eases when you lie down
Small bowel prolapse (enterocele),A soft bulge of tissue in your vagina
Small bowel prolapse (enterocele),Vaginal discomfort and painful intercourse (dyspareunia)
Snoring,Witnessed breathing pauses during sleep
Snoring,Excessive daytime sleepiness
Snoring,Difficulty concentrating
Snoring,Morning headaches
Snoring,Sore throat upon awakening
Snoring,Restless sleep
Snoring,Gasping or choking at night
Snoring,High blood pressure
Snoring,Chest pain at night
Snoring,Your snoring is so loud it's disrupting your partner's sleep
Snoring,"In children, poor attention span, behavioral issues or poor performance in school"
Soft palate cancer,Bleeding
Soft palate cancer,Difficulty swallowing
Soft palate cancer,Difficulty speaking
Soft palate cancer,Bad breath
Soft palate cancer,Mouth pain
Soft palate cancer,Sores in your mouth that won't heal
Soft palate cancer,Loose teeth
Soft palate cancer,Pain when you swallow
Soft palate cancer,Weight loss
Soft palate cancer,Ear pain
Soft palate cancer,Swelling in your neck that may hurt
Soft palate cancer,White patches in your mouth that won't go away
Somatic symptom disorder,"Specific sensations, such as pain or shortness of breath, or more general symptoms, such as fatigue or weakness"
Somatic symptom disorder,"Unrelated to any medical cause that can be identified, or related to a medical condition such as cancer or heart disease, but more significant than what's usually expected"
Somatic symptom disorder,"A single symptom, multiple symptoms or varying symptoms"
Somatic symptom disorder,"Mild, moderate or severe"
Somatic symptom disorder,Constant worry about potential illness
Somatic symptom disorder,Viewing normal physical sensations as a sign of severe physical illness
Somatic symptom disorder,"Fearing that symptoms are serious, even when there is no evidence"
Somatic symptom disorder,Thinking that physical sensations are threatening or harmful
Somatic symptom disorder,Feeling that medical evaluation and treatment have not been adequate
Somatic symptom disorder,Fearing that physical activity may cause damage to your body
Somatic symptom disorder,Repeatedly checking your body for abnormalities
Somatic symptom disorder,Frequent health care visits that don't relieve your concerns or that make them worse
Somatic symptom disorder,Being unresponsive to medical treatment or unusually sensitive to medication side effects
Somatic symptom disorder,Having a more severe impairment than is usually expected from a medical condition
Spider bites,"Redness, pain and swelling. You might have pain and swelling around the bite, which can spread into your abdomen, back or chest."
Spider bites,"Cramping. You might have severe abdominal rigidity or cramping, which is sometimes mistaken for appendicitis or a ruptured appendix."
Spider bites,"Nausea, vomiting, tremors or sweating. You might experience nausea, vomiting, tremors or sweating alone or in combination."
Spina bifida,"Spina bifida occulta. Typically there aren't any signs or symptoms because the spinal nerves aren't involved. But you can sometimes see signs on the newborn's skin above the spinal defect, including an abnormal tuft of hair, or a small dimple or birthmark. Sometimes, the skin marks can be signs of an underlying spinal cord issue that can be discovered with MRI or spinal ultrasound in a newborn."
Spina bifida,Myelomeningocele. In this severe type of spina bifida:
Spina bifida,The spinal canal remains open along several vertebrae in the lower or middle back
Spina bifida,"Both the membranes and the spinal cord or nerves protrude at birth, forming a sac"
Spina bifida,"Tissues and nerves usually are exposed, though sometimes skin covers the sac"
Spinal arteriovenous malformation (AVM),Problems with walking or climbing stairs
Spinal arteriovenous malformation (AVM),"Numbness, tingling or sudden pain in your legs"
Spinal arteriovenous malformation (AVM),Weakness on one or both sides of your body
Spinal arteriovenous malformation (AVM),"Sudden, severe back pain"
Spinal arteriovenous malformation (AVM),Lack of feeling in the legs
Spinal arteriovenous malformation (AVM),Difficulty urinating or moving your bowels
Spinal arteriovenous malformation (AVM),Headache
Spinal arteriovenous malformation (AVM),Stiff neck
Spinal arteriovenous malformation (AVM),Sensitivity to light
Spinal stenosis,"Numbness or tingling in a hand, arm, foot or leg"
Spinal stenosis,"Weakness in a hand, arm, foot or leg"
Spinal stenosis,Problems with walking and balance
Spinal stenosis,Neck pain
Spinal stenosis,"In severe cases, bowel or bladder dysfunction (urinary urgency and incontinence)"
Stage 4 prostate cancer,Painful urination
Stage 4 prostate cancer,Decreased force in the stream of urine
Stage 4 prostate cancer,Blood in the semen
Stage 4 prostate cancer,Bone pain
Stage 4 prostate cancer,Swelling in the legs
Stage 4 prostate cancer,Fatigue
Staph infections,"Boils. The most common type of staph infection is the boil, a pocket of pus that develops in a hair follicle or oil gland. The skin over the infected area usually becomes red and swollen.
If a boil breaks open, it will probably drain pus. Boils occur most often under the arms or around the groin or buttocks."
Staph infections,"Impetigo. This contagious, often painful rash can be caused by staph bacteria. Impetigo usually features large blisters that may ooze fluid and develop a honey-colored crust."
Staph infections,"Cellulitis. Cellulitis — an infection of the deeper layers of skin — causes skin redness and swelling on the surface of your skin. Sores or areas of oozing discharge may develop, too."
Staph infections,"Staphylococcal scalded skin syndrome. Toxins produced as a result of a staph infection may lead to staphylococcal scalded skin syndrome. Affecting mostly babies and children, this condition features a fever, a rash and sometimes blisters. When the blisters break, the top layer of skin comes off — leaving a red, raw surface that looks like a burn."
Trigger finger,"Finger stiffness, particularly in the morning"
Trigger finger,A popping or clicking sensation as you move your finger
Trigger finger,Tenderness or a bump (nodule) in the palm at the base of the affected finger
Trigger finger,"Finger catching or locking in a bent position, which suddenly pops straight"
Trigger finger,"Finger locked in a bent position, which you are unable to straighten"
Strep throat,Throat pain that usually comes on quickly
Strep throat,Painful swallowing
Strep throat,"Red and swollen tonsils, sometimes with white patches or streaks of pus"
Strep throat,Tiny red spots on the area at the back of the roof of the mouth (soft or hard palate)
Strep throat,"Swollen, tender lymph nodes in your neck"
Strep throat,Fever
Strep throat,Headache
Strep throat,Rash
Strep throat,"Nausea or vomiting, especially in younger children"
Strep throat,Body aches
Stress incontinence,Cough or sneeze
Stress incontinence,Laugh
Stress incontinence,Bend over
Stress incontinence,Lift something heavy
Stress incontinence,Exercise
Stress incontinence,Have sex
Stretch marks,"Indented streaks or lines on the abdomen, breasts, hips, buttocks or other places on the body"
Stretch marks,"Pink, red, black, blue or purple streaks"
Stretch marks,Bright streaks that fade to a lighter color
Stretch marks,Streaks covering large areas of the body
Suicide and suicidal thoughts,"Talking about suicide — for example, making statements such as ""I'm going to kill myself,"" ""I wish I were dead"" or ""I wish I hadn't been born"""
Suicide and suicidal thoughts,"Getting the means to take your own life, such as buying a gun or stockpiling pills"
Suicide and suicidal thoughts,Withdrawing from social contact and wanting to be left alone
Suicide and suicidal thoughts,"Having mood swings, such as being emotionally high one day and deeply discouraged the next"
Suicide and suicidal thoughts,"Being preoccupied with death, dying or violence"
Suicide and suicidal thoughts,Feeling trapped or hopeless about a situation
Suicide and suicidal thoughts,Increasing use of alcohol or drugs
Suicide and suicidal thoughts,"Changing normal routine, including eating or sleeping patterns"
Suicide and suicidal thoughts,"Doing risky or self-destructive things, such as using drugs or driving recklessly"
Suicide and suicidal thoughts,Giving away belongings or getting affairs in order when there's no other logical explanation for doing this
Suicide and suicidal thoughts,Saying goodbye to people as if they won't be seen again
Suicide and suicidal thoughts,"Developing personality changes or being severely anxious or agitated, particularly when experiencing some of the warning signs listed above"
Sun allergy,Redness
Sun allergy,Itching or pain
Sun allergy,Tiny bumps that may merge into raised patches
Sun allergy,"Scaling, crusting or bleeding"
Sun allergy,Blisters or hives
Sunburn,"Changes in skin tone, such as pinkness or redness"
Sunburn,Skin that feels warm or hot to the touch
Sunburn,Pain and tenderness
Sunburn,Swelling
Sunburn,"Small fluid-filled blisters, which may break"
Sunburn,"Headache, fever, nausea and fatigue, if the sunburn is severe"
Sunburn,Eyes that feel painful or gritty
Swollen knee,"Swelling. The skin around your kneecap can puff up noticeably, especially when you compare the affected knee to the normal one."
Swollen knee,"Stiffness. When your knee joint contains excess fluid, you might not be able to bend or straighten your leg completely."
Swollen knee,"Pain. Depending on the cause of the fluid buildup, the knee might be very painful — to the point that it's difficult or impossible to bear weight on it."
Syphilis,Mayo Clinic Minute: Signs and symptoms of syphilis
Tapeworm infection,Nausea
Tapeworm infection,Weakness
Tapeworm infection,Loss of appetite
Tapeworm infection,Abdominal pain
Tapeworm infection,Diarrhea
Tapeworm infection,Dizziness
Tapeworm infection,Salt craving
Tapeworm infection,Weight loss and inadequate absorption of nutrients from food
Tay-Sachs disease,"Loss of motor skills, including turning over, crawling and sitting up"
Tay-Sachs disease,Exaggerated reactions when the baby hears loud noises
Tay-Sachs disease,Seizures
Tay-Sachs disease,Vision and hearing loss
Tay-Sachs disease,"""Cherry-red"" spots in the eyes"
Tay-Sachs disease,Muscle weakness
Tay-Sachs disease,Movement problems
Tuberculosis,"Latent TB. You have a TB infection, but the bacteria in your body are inactive and cause no symptoms. Latent TB, also called inactive TB or TB infection, isn't contagious. Latent TB can turn into active TB, so treatment is important."
Tuberculosis,"Active TB. Also called TB disease, this condition makes you sick and, in most cases, can spread to others. It can occur weeks or years after infection with the TB bacteria."
Tuberculosis,Coughing for three or more weeks
Tuberculosis,Coughing up blood or mucus
Tuberculosis,"Chest pain, or pain with breathing or coughing"
Tuberculosis,Unintentional weight loss
Tuberculosis,Fatigue
Tuberculosis,Fever
Tuberculosis,Night sweats
Tuberculosis,Chills
Tuberculosis,Loss of appetite
TMJ disorders,Pain or tenderness of your jaw
TMJ disorders,Pain in one or both of the temporomandibular joints
TMJ disorders,Aching pain in and around your ear
TMJ disorders,Difficulty chewing or pain while chewing
TMJ disorders,Aching facial pain
TMJ disorders,"Locking of the joint, making it difficult to open or close your mouth"
TEN,Widespread skin pain
TEN,A spreading rash covering more than 30% of the body
TEN,Blisters and large areas of peeling skin
TEN,"Sores, swelling and crusting on the mucous membranes, including the mouth, eyes and vagina"
Tendinitis,"Pain often described as a dull ache, especially when moving the affected limb or joint"
Tendinitis,Tenderness
Tendinitis,Mild swelling
Testicular torsion,"Sudden, severe pain in the scrotum — the loose bag of skin under your penis that contains the testicles"
Testicular torsion,Swelling of the scrotum
Testicular torsion,Abdominal pain
Testicular torsion,Nausea and vomiting
Testicular torsion,A testicle that's positioned higher than normal or at an unusual angle
Testicular torsion,Frequent urination
Testicular torsion,Fever
Transient ischemic attack (TIA),"Weakness, numbness or paralysis in your face, arm or leg, typically on one side of your body"
Transient ischemic attack (TIA),Slurred or garbled speech or difficulty understanding others
Transient ischemic attack (TIA),Blindness in one or both eyes or double vision
Transient ischemic attack (TIA),Vertigo or loss of balance or coordination
Tonsil cancer,Difficulty swallowing
Tonsil cancer,A sensation that something is caught in the back of your throat
Tonsil cancer,Swelling and pain in the neck
Tonsil cancer,Earache
Tonsil cancer,Jaw stiffness
Tonsillitis,"Red, swollen tonsils"
Tonsillitis,White or yellow coating or patches on the tonsils
Tonsillitis,Sore throat
Tonsillitis,Difficult or painful swallowing
Tonsillitis,Fever
Tonsillitis,"Enlarged, tender glands (lymph nodes) in the neck"
Tonsillitis,"A scratchy, muffled or throaty voice"
Tonsillitis,Bad breath
Tonsillitis,Stomachache
Tonsillitis,Neck pain or stiff neck
